Date,Season,Source,Acreage,Owner,clipped UA,clipped _1,SznEndDate,Year,UA
3/11/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,3.9,Private,0,0,1/1/2008,2008,notUA
3/11/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,7.4,Private,0,0,1/1/2008,2008,notUA
3/11/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,16,Private,0,0,1/1/2008,2008,notUA
3/12/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,11.2,Private,0,0,1/1/2008,2008,notUA
3/13/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,16.3,Private,0,0,1/1/2008,2008,notUA
3/13/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,8.1,Private,0,0,1/1/2008,2008,notUA
2/22/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,17.5,Private,0,0,1/1/2008,2008,notUA
3/24/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,21.3,Private,0,0,1/1/2008,2008,notUA
3/24/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,4.7,Private,0,0,1/1/2008,2008,notUA
3/24/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,5.1,Private,0,0,1/1/2008,2008,notUA
3/26/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,1.7,Private,0,0,1/1/2008,2008,notUA
3/26/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,4.7,Private,0,0,1/1/2008,2008,notUA
3/24/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,0.6,Private,0,0,1/1/2008,2008,notUA
3/24/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,1,Private,0,0,1/1/2008,2008,notUA
4/16/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,30,Private,0,0,1/1/2008,2008,notUA
4/16/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,2.5,Private,0,0,1/1/2008,2008,notUA
4/16/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,17.3,Private,0,0,1/1/2008,2008,notUA
4/16/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,1.8,Private,0,0,1/1/2008,2008,notUA
4/16/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,31,Private,0,0,1/1/2008,2008,notUA
