Date,Season,Source,Acreage,Owner,clipped UA,clipped _1,SznEndDate,Year,UA
4/3/2013,7/1/2012 - 6/30/2013,Southern Illinois Prescribed Burn Association,34.4,Private,0,0,1/1/2013,2013,notUA
3/15/2013,7/1/2012 - 6/30/2013,Southern Illinois Prescribed Burn Association,4.3,Private,0,0,1/1/2013,2013,notUA
3/15/2013,7/1/2012 - 6/30/2013,Southern Illinois Prescribed Burn Association,5.8,Private,0,0,1/1/2013,2013,notUA
3/15/2013,7/1/2012 - 6/30/2013,Southern Illinois Prescribed Burn Association,8.7,Private,0,0,1/1/2013,2013,notUA
3/15/2013,7/1/2012 - 6/30/2013,Southern Illinois Prescribed Burn Association,5.5,Private,0,0,1/1/2013,2013,notUA
4/3/2013,7/1/2012 - 6/30/2013,Southern Illinois Prescribed Burn Association,43.1,Private,0,0,1/1/2013,2013,notUA
4/3/2013,7/1/2012 - 6/30/2013,Southern Illinois Prescribed Burn Association,3.9,Private,0,0,1/1/2013,2013,notUA
3/15/2013,7/1/2012 - 6/30/2013,Southern Illinois Prescribed Burn Association,13.2,Private,0,0,1/1/2013,2013,notUA
3/15/2013,7/1/2012 - 6/30/2013,Southern Illinois Prescribed Burn Association,13.2,Private,0,0,1/1/2013,2013,notUA
3/14/2013,7/1/2012 - 6/30/2013,Southern Illinois Prescribed Burn Association,2.5,Private,0,0,1/1/2013,2013,notUA
3/3/2013,7/1/2012 - 6/30/2013,Southern Illinois Prescribed Burn Association,1.2,Private,0,0,1/1/2013,2013,notUA
3/3/2013,7/1/2012 - 6/30/2013,Southern Illinois Prescribed Burn Association,2.3,Private,0,0,1/1/2013,2013,notUA
3/3/2013,7/1/2012 - 6/30/2013,Southern Illinois Prescribed Burn Association,0.7,Private,0,0,1/1/2013,2013,notUA
3/3/2013,7/1/2012 - 6/30/2013,Southern Illinois Prescribed Burn Association,2.5,Private,0,0,1/1/2013,2013,notUA
