,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Years with fires,Average Distance,Stdev,Median
116,,,,,,,,,14686.38412,,7581.386554,,,,,,,,13161.78133,11949.10065,12056.65256,,,5,11887.06104,2647.289392,12056.65256
117,,10621.91875,12442.07238,12197.41759,,16991.08704,27337.65245,13685.67234,,29074.21895,24163.60745,16170.63584,,18170.46987,33971.96779,41914.33552,32645.02156,36728.32727,24623.96942,35685.93002,33526.04534,16465.71523,37066.17071,19,24920.11766,9004.664402,28205.9357
118,19418.59943,11574.96912,11977.22966,16654.5817,19122.15173,19888.51141,20139.90923,19670.35226,18704.5167,17935.72897,20433.51799,19191.27883,21115.87045,22460.73524,22850.74868,20070.84921,21851.51925,20959.05382,19270.96797,28250.20331,24205.37005,23351.63726,23549.69396,23,20115.13027,2486.237037,20696.28591
119,,,,,,,,,,,,,,,,,,,,,,15181.99619,,1,15181.99619,#DIV/0!,15181.99619
120,,,,,,,,,,,,,,,,,6711.490692,7310.20051,6625.698775,8298.549315,6552.684271,5935.83091,,6,6905.742412,810.5595554,6668.594734
122,,,,,,,,,,,,,,,,,14716.58647,13385.14928,15285.14369,15466.75223,11555.56605,14047.52842,,6,14076.12102,1458.57765,14382.05745
123,,,,,,,,,,,,,,,,,16126.04916,,,,,983.7327856,,2,8554.890973,10707.23459,8554.890973
124,,,,,,,,,,,,,,,,,,2524.097938,,,3564.196944,,,2,3044.147441,735.4610602,3044.147441
127,,,,,,,,,,,,,,,,,8490.401576,9807.577988,6229.475583,,,,,3,8175.818382,1809.675701,8490.401576
128,,,,,,,,,,,,,,,,,17662.01708,18458.53992,19413.97579,15582.61688,18279.09339,13001.90165,,6,17066.35745,2366.275968,17970.55524
132,,,,,,,,,,,,,,,,,3637.708847,,3783.494122,3526.902985,4217.508386,3721.634647,,5,3777.449797,264.1517862,3721.634647
135,,,,,,,,,,,,,,,,,9544.90772,1653.714518,1695.925073,9508.451444,9509.898645,1714.74729,,6,5604.607448,4290.352629,5611.599367
136,,,,,,,,,,,,,,,,,13425.80045,13817.31997,,,13808.83104,,,3,13683.98382,223.6336399,13808.83104
137,,,,,,,,,,,,,,,,,29519.22243,20708.1753,,,,25540.63255,,3,25256.01009,4412.413777,25540.63255
138,,,,,,,,,,,,,,,,,21124.03276,,21413.05936,21118.52937,20886.10619,,,4,21135.43192,215.759088,21121.28107
139,,,,,,,,,,,,,,,,,4924.041025,,4993.123213,1520.032374,2395.56705,4810.464332,,5,3728.645599,1647.215562,4810.464332
141,,,,,,,,,,,,,,,,,2115.044332,6487.65349,,,2563.083783,3008.548715,,4,3543.58258,1996.322801,2785.816249
142,,,,,,,,,,,,,,,,,1132.912247,1026.916576,982.303114,1653.261854,1106.377333,2894.788898,,6,1466.093337,740.7479341,1119.64479
144,,,,,,,,,,,,,,,,,,11813.29939,11889.01063,11739.40976,11710.41448,,,4,11788.03357,80.04941461,11776.35458
145,,,,,,,,,,,,,,,,,,,21562.50946,21583.59871,,,,2,21573.05409,14.91235169,21573.05409
146,,,,,,,,,,,,,,,,,2286.946895,,,,3755.546154,,,2,3021.246525,1038.456495,3021.246525
147,,,,,,,,,,,,,,,,,7630.343367,5792.494026,6339.577245,9294.024953,8729.967885,3312.936762,,6,6849.890706,2191.170443,6984.960306
148,,,,,,,,,,,,,,,,,12387.89401,5596.985473,11862.51506,5555.923578,8308.445562,5572.159517,,6,8213.9872,3213.578372,6952.715518
150,,,,17677.71116,,,16681.08017,10817.59504,14625.94649,11443.21739,17105.66991,21389.912,,19869.31374,21665.69172,9071.944776,8765.374957,8997.353646,11421.80067,5929.629188,12421.37623,8512.601074,5627.618692,17,13060.2257,5220.231075,11432.50903
151,,,,20482.35022,,,15384.58094,9808.651826,,14258.34807,11723.682,13690.62388,14280.71444,13535.25371,12735.39996,12657.72471,17400.3117,14678.91389,9904.283774,8386.85408,11469.27464,14235.34907,9252.562312,17,13169.69878,2467.275548,13135.32684
152,,,,,15895.45221,,,27689.37902,22017.53694,25476.79059,17364.15562,28798.73868,22568.93946,29689.93203,19412.27982,20273.70288,22576.02417,19743.72833,24681.35224,14788.44549,16122.60512,15309.9885,,16,21400.56569,4813.78144,22017.53694
153,23865.37935,23825.98076,23899.6348,25672.47609,24407.77602,24556.83749,21096.27022,24323.54126,22831.03574,24328.79633,23830.99305,24522.37887,21732.90366,25295.92132,23282.73117,20287.274,24385.67522,23496.3959,22412.04152,21927.10725,20673.05485,15858.91423,19698.46978,23,22878.76473,2337.916595,23056.88346
154,,,,4086.361966,,,4126.236731,,,,9958.638267,,15513.63423,15865.97295,,11157.41523,,11130.56162,15659.43508,16108.66772,15072.67087,15032.00784,12491.8167,12,12183.61827,3671.027665,15032.00784
155,,,,17626.08747,22398.61256,21582.74647,20962.63511,,,13602.21345,20962.677,16288.68591,22079.65735,12645.04694,6580.31636,19931.71901,11571.10464,15722.79514,16608.14549,15037.5832,18915.76205,14080.45608,,17,16858.6026,4383.066719,16288.68591
157,,,,,,,,,,,,,,,,,,,,,,11367.57189,,1,11367.57189,#DIV/0!,11367.57189
